79,All I Want - Amy Rigby,Amy Rigby,CMRRA - Canada,17264,Emusic,DIGI,07/17 - 09/17,0 .00000000,0,0.08,50.00,$ 0.04
80,All I Want - Amy Rigby,Amy Rigby,CMRRA - Canada,17264,Napster Llc,DIGI,07/17 - 09/17,0 .00000000,0,0.01,50.00,$ 0.00
81,All I Want - Amy Rigby,Amy Rigby,"Google, Inc. - USA",17221,Amy Rigby,DIGI,10/19 - 12/19,0 .00000000,65,0.07,50.00,$ 0.04
82,All I Want - Amy Rigby,Amy Rigby,"Google, Inc. - USA",17221,Ronnie Spector,DIGI,10/19 - 12/19,0 .00000000,16,0.02,50.00,$ 0.01
83,All I Want - Amy Rigby,Amy Rigby,"Google, Inc. - YouTube - USA",17464,,DIGI,10/19 - 12/19,0 .00000000,18,0.02,50.00,$ 0.01
84,All I Want - Amy Rigby,Amy Rigby,IHEART Communications - USA,17131,ihea rt Plus,DIGI,01/20 - 01/20,0 .00000000,"4,208",0.03,50.00,$ 0.01
85,All I Want - Amy Rigby,Amy Rigby,IHEART Communications - USA,17131,ihea rt Premium,DIGI,01/20 - 01/20,0 .00000000,106,0.00,50.00,$ 0.00
86,All I Want - Amy Rigby,Amy Rigby,"Music Reports, Inc. - USA",17006,Pandora Plus,DIGI,12/19 - 12/19,0 .00000000,9,0.00,50.00,$ 0.00
87,All I Want - Amy Rigby,Amy Rigby,"Music Reports, Inc. - USA",17006,Pandora,DIGI,12/19 - 12/19,0 .00000000,2,0.00,50.00,$ 0.00
88,All I Want - Amy Rigby,Amy Rigby,"Music Reports, Inc. - USA",17008,Hoopla,DIGI,12/19 - 12/19,0 .00000000,3,0.01,50.00,$ 0.01
89,All I Want - Amy Rigby,Amy Rigby,"Music Reports, Inc. - USA",17014,Amazon Mu sic,DIGI,11/19 - 11/19,0 .00000000,19,0.02,50.00,$ 0.01
90,All I Want - Amy Rigby,Amy Rigby,"Music Reports, Inc. - USA",17016,Tidal - Premium,DIGI,01/19 - 01/19,0 .00000000,22,0.02,50.00,$ 0.01
91,All I Want - Amy Rigby,Amy Rigby,Pandora - USA,17133,Pandora Plus,DIGI,01/20 - 01/20,0 .00000000,11,0.00,50.00,$ 0.00
