,title,artist,source,reference,product,income_type,income_period,rate,quantity,amount_received,percent_payable,amount_payable
109,50.00,Amy Rigby,DIGI,Ronnie Spector,,17434,08/19 - 08/19,0 .00000000,124,0.05,50.00,$ 0.03
110,50.00,Amy Rigby,DIGI,Amy Rigby,,17437,09/19 - 09/19,0 .00000000,50,0.02,50.00,$ 0.01
111,50.00,Amy Rigby,DIGI,Ronnie Spector,,17437,09/19 - 09/19,0 .00000000,169,0.07,50.00,$ 0.03
112,50.00,Amy Rigby,DIGI,Amy Rigby,,17440,10/19 - 10/19,0 .00000000,125,0.04,50.00,$ 0.02
113,50.00,Amy Rigby,DIGI,Ronnie Spector,,17440,10/19 - 10/19,0 .00000000,195,0.07,50.00,$ 0.04
114,50.00,Amy Rigby,DIGI,Amy Rigby,,17443,11/19 - 11/19,0 .00000000,77,0.04,50.00,$ 0.02
115,50.00,Amy Rigby,DIGI,Ronnie Spector,,17443,11/19 - 11/19,0 .00000000,161,0.06,50.00,$ 0.03
116,50.00,Amy Rigby,DIGI,Amy Rigby,,17446,12/19 - 12/19,0 .00000000,58,0.02,50.00,$ 0.01
117,50.00,Amy Rigby,DIGI,Ronnie Spector,,17446,12/19 - 12/19,0 .00000000,135,0.05,50.00,$ 0.03
118,50.00,Amy Rigby,DIGI,Amy Rigby,,17929,01/20 - 01/20,0 .00000000,271,0.12,50.00,$ 0.06
119,50.00,Amy Rigby,MECH,Ronnie Spector,,17929,01/20 - 01/20,0 .00000000,158,0.07,50.00,$ 0.04
120,50.00,Amy Rigby,MECH,Amy Rigby,,17930,02/20 - 02/20,0 .00000000,349,0.16,50.00,$ 0.08
121,50.00,Amy Rigby,MECH,Ronnie Spector,,17930,02/20 - 02/20,0 .00000000,108,0.05,50.00,$ 0.03
122,50.00,Amy Rigby,MECH,Amy Rigby,,17931,03/20 - 03/20,0 .00000000,100,0.04,50.00,$ 0.02
123,50.00,Amy Rigby,MECH,Ronnie Spector,,17931,03/20 - 03/20,0 .00000000,85,0.04,50.00,$ 0.02
124,50.00,Amy Rigby,Tidal - USA,Tidal - Premium,,17524,03/20 - 03/20,0 .00000000,15,0.01,50.00,$ 0.01
125,50.00,Amy Rigby,DIGI,Tidal - Premium,,17584,05/20 - 05/20,0 .00000000,9,0.01,50.00,$ 0.00
126,50.00,Amy Rigby,XUS Interna tional Publ ishing - Germany,Apple Mu sic,,18121,07/19 - 12/19,0 .00000000,24,0.01,50.00,$ 0.01
127,50.00,Amy Rigby,DIGI,Ronnie Spector,,18121,07/19 - 12/19,0 .00000000,1,0.08,50.00,$ 0.04
128,50.00,Amy Rigby,XUS Interna tional Publ ishing - South Africa,Xandrie S.A.,,17896,07/19 - 12/19,0 .00000000,1,0.03,50.00,$ 0.01
129,50.00,Amy Rigby,XUS Interna tional Publ ishing - United Kingdom,Amazon (UK),,17896,07/19 - 12/19,0 .00000000,3,0.01,50.00,$ 0.01
130,50.00,Amy Rigby,MECH,Apple Mu sic,,17896,07/19 - 12/19,0 .00000000,43,0.04,50.00,$ 0.02
131,50.00,Amy Rigby,DIGI,Apple Mu sic,,17896,07/19 - 12/19,0 .00000000,96,0.18,50.00,$ 0.09
132,50.00,Amy Rigby,MECH,Deezer,,17896,07/19 - 12/19,0 .00000000,50,0.05,50.00,$ 0.03
133,50.00,Amy Rigby,MECH,Google,,17896,07/19 - 12/19,0 .00000000,8,0.01,50.00,$ 0.01
134,50.00,Amy Rigby,DIGI,Napster,,17896,07/19 - 12/19,0 .00000000,8,0.01,50.00,$ 0.01
135,50.00,Amy Rigby,MECH,Sony Music Ent,,17896,07/19 - 12/19,0 .00000000,187,4.58,50.00,$ 2.29
136,50.00,Amy Rigby,MECH,Spotify,,17896,07/19 - 12/19,0 .00000000,254,0.09,50.00,$ 0.04
137,50.00,Amy Rigby,DIGI,Spotify,,17896,07/19 - 12/19,0 .00000000,494,0.40,50.00,$ 0.20
138,50.00,Amy Rigby,MECH,iTunes,,17896,07/19 - 12/19,0 .00000000,2,0.03,50.00,$ 0.01
139,50.00,Amy Rigby,DIGI,iTunes,,17896,07/19 - 12/19,0 .00000000,14,0.42,50.00,$ 0.21
140,Always With Me - Amy Rigby,Amy Rigby,Amazon Music Free Tier - USA,Ad-supported,,17521,01/20 - 01/20,0 .00000000,3,0.00,50.00,$ 0.00
141,Always With Me - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,Amazon Mu sic,,17116,12/19 - 12/19,0 .00000000,3,0.00,50.00,$ 0.00
142,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17129,01/20 - 01/20,0 .00000000,32,0.05,50.00,$ 0.03
143,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17532,02/20 - 02/20,0 .00000000,41,0.07,50.00,$ 0.03
144,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17581,03/20 - 03/20,0 .00000000,23,0.04,50.00,$ 0.02
145,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17582,04/20 - 04/20,0 .00000000,9,0.01,50.00,$ 0.01
146,Always With Me - Amy Rigby,Amy Rigby,DIGI,18035,,DIGI,05/20 - 05/20,0 .00000000,6,0.01,50.00,$ 0.00
147,Always With Me - Amy Rigby,Amy Rigby,Amazon Prime Music - USA,Amazon Prime,,17112,12/19 - 12/19,0 .00000000,2,0.00,50.00,$ 0.00
148,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17114,11/19 - 11/19,0 .00000000,9,0.01,50.00,$ 0.01
149,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17130,01/20 - 01/20,0 .00000000,42,0.07,50.00,$ 0.04
150,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17534,02/20 - 02/20,0 .00000000,38,0.07,50.00,$ 0.04
151,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17571,03/20 - 03/20,0 .00000000,36,0.06,50.00,$ 0.03
152,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17580,04/20 - 04/20,0 .00000000,19,0.03,50.00,$ 0.02
153,Always With Me - Amy Rigby,Amy Rigby,DIGI,18033,,DIGI,05/20 - 05/20,0 .00000000,13,0.02,50.00,$ 0.01
154,Always With Me - Amy Rigby,Amy Rigby,"Apple, Inc. - USA",Amy Rigby,,17309,10/19 - 12/19,0 .00000000,70,0.03,50.00,$ 0.02
155,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,17934,01/20 - 03/20,0 .00000000,438,0.17,50.00,$ 0.09
156,Always With Me - Amy Rigby,Amy Rigby,CMRRA - Canada,Apple,,17264,07/17 - 09/17,0 .00000000,0,0.16,50.00,$ 0.08
157,Always With Me - Amy Rigby,Amy Rigby,DIGI,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.01,50.00,$ 0.00
158,Always With Me - Amy Rigby,Amy Rigby,"Google, Inc. - YouTube - USA",17464,,DIGI,10/19 - 12/19,0 .00000000,5,0.01,50.00,$ 0.00
159,Always With Me - Amy Rigby,Amy Rigby,"Music Reports, Inc. - USA",Amazon Mu sic,,17014,11/19 - 11/19,0 .00000000,15,0.02,50.00,$ 0.01
160,Always With Me - Amy Rigby,Amy Rigby,Pandora - USA,Pandora,,17133,01/20 - 01/20,0 .00000000,1,0.00,50.00,$ 0.00
161,Always With Me - Amy Rigby,Amy Rigby,DIGI,Pandora,,17536,03/20 - 03/20,0 .00000000,1,0.00,50.00,$ 0.00
162,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18039,05/20 - 05/20,0 .00000000,1,0.00,50.00,$ 0.00
163,Always With Me - Amy Rigby,Amy Rigby,Tidal - USA,Tidal - Premium,,17524,03/20 - 03/20,0 .00000000,2,0.00,50.00,$ 0.00
164,Always With Me - Amy Rigby,Amy Rigby,XUS Interna tional Publ ishing - United Kingdom,Amazon (UK),,17896,07/19 - 12/19,0 .00000000,1,0.01,50.00,$ 0.01
165,Always With Me - Amy Rigby,Amy Rigby,DIGI,Amazon (UK),,17896,07/19 - 12/19,0 .00000000,1,0.04,50.00,$ 0.02
166,Always With Me - Amy Rigby,Amy Rigby,MECH,iTunes,,17896,07/19 - 12/19,0 .00000000,1,0.01,50.00,$ 0.01
167,Always With Me - Amy Rigby,Amy Rigby,DIGI,iTunes,,17896,07/19 - 12/19,0 .00000000,1,0.04,50.00,$ 0.02
168,Angel After Hours - Amy Rigby,Amy Rigby,CMRRA - Canada,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.01,50.00,$ 0.00
169,As Is - Amy Rigby,Amy Rigby,CMRRA - Canada,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.01,50.00,$ 0.00
170,Bal ls - Amy Rigby,Amy Rigby,"AMI En tertainment, Inc. - USA",Amy Rigby,,17362,01/19 - 03/19,0 .00000000,1,0.01,50.00,$ 0.00
171,Bal ls - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,Amazon Mu sic,,17116,12/19 - 12/19,0 .00000000,12,0.01,50.00,$ 0.01
172,Bal ls - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17129,01/20 - 01/20,0 .00000000,41,0.06,50.00,$ 0.03
173,Bal ls - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17532,02/20 - 02/20,0 .00000000,22,0.04,50.00,$ 0.02
174,Bal ls - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17581,03/20 - 03/20,0 .00000000,13,0.02,50.00,$ 0.01
175,Bal ls - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17582,04/20 - 04/20,0 .00000000,11,0.02,50.00,$ 0.01
176,Bal ls - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18035,05/20 - 05/20,0 .00000000,9,0.01,50.00,$ 0.01
177,Bal ls - Amy Rigby,Amy Rigby,"Apple, Inc. - USA",Amy Rigby,,17309,10/19 - 12/19,0 .00000000,142,0.06,50.00,$ 0.03
178,Bal ls - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,17934,01/20 - 03/20,0 .00000000,461,0.21,50.00,$ 0.11
179,Bal ls - Amy Rigby,Amy Rigby,CMRRA - Canada,Apple,,17264,07/17 - 09/17,0 .00000000,0,0.27,50.00,$ 0.14
180,Bal ls - Amy Rigby,Amy Rigby,DIGI,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.07,50.00,$ 0.03
181,Bal ls - Amy Rigby,Amy Rigby,"Google, Inc. - USA",Amy Rigby,,17221,10/19 - 12/19,0 .00000000,25,0.02,50.00,$ 0.01
182,Bal ls - Amy Rigby,Amy Rigby,"Google, Inc. - YouTube - USA",17464,,DIGI,10/19 - 12/19,0 .00000000,83,0.01,50.00,$ 0.01
183,Bal ls - Amy Rigby,Amy Rigby,IHEART Communications - USA,ihea rt Plus,,17131,01/20 - 01/20,0 .00000000,1,0.00,50.00,$ 0.00
