Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
20 Questions - Amy Rigby,,,,,,,,,
17464,,DIGI,10/19 - 12/19,,0.00000000,5 0.01,,50.00,$ 0.00
"Music Reports, Inc. - USA",,,,,,,,,
17014 Amazon Music,,DIGI,11/19 - 11/19,,0.00000000,15 0.02,,50.00,$ 0.01
Pandora - USA,,,,,,,,,
17133 Pandora,,DIGI,01/20 - 01/20,,0.00000000,1 0.00,,50.00,$ 0.00
17536 Pandora,,DIGI,03/20 - 03/20,,0.00000000,1 0.00,,50.00,$ 0.00
18039 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,1 0.00,,50.00,$ 0.00
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,2 0.00,,50.00,$ 0.00
XUS International Publishing - United Kingdom,,,,,,,,,
17896 Amazon (UK),,DIGI,07/19 - 12/19,,0.00000000,1 0.01,,50.00,$ 0.01
17896 Amazon (UK),,MECH,07/19 - 12/19,,0.00000000,1 0.04,,50.00,$ 0.02
17896 iTunes,,DIGI,07/19 - 12/19,,0.00000000,1 0.01,,50.00,$ 0.01
17896 iTunes,,MECH,07/19 - 12/19,,0.00000000,1 0.04,,50.00,$ 0.02
Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,,Period,,Received Payable,,,Payable
Angel After Hours - Amy Rigby,,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0 0.01,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 0.00
As Is - Amy Rigby,,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0 0.01,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 0.00
Balls - Amy Rigby,,,,,,,,,
"AMI Entertainment, Inc. - USA",,,,,,,,,
17362 Amy Rigby,,DIGI,,01/19 - 03/19,0.00000000,1 0.01,,50.00,$ 0.00
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,,12/19 - 12/19,0.00000000,12 0.01,,50.00,$ 0.01
17129 Amazon Music,,DIGI,,01/20 - 01/20,0.00000000,41 0.06,,50.00,$ 0.03
17532 Amazon Music,,DIGI,,02/20 - 02/20,0.00000000,22 0.04,,50.00,$ 0.02
17581 Amazon Music,,DIGI,,03/20 - 03/20,0.00000000,13 0.02,,50.00,$ 0.01
17582 Amazon Music,,DIGI,,04/20 - 04/20,0.00000000,11 0.02,,50.00,$ 0.01
18035 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,9 0.01,,50.00,$ 0.01
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,142 0.06,,50.00,$ 0.03
17934 Amy Rigby,,MECH,,01/20 - 03/20,0.00000000,461 0.21,,50.00,$ 0.11
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,,07/17 - 09/17,0.00000000,0 0.27,,50.00,$ 0.14
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0 0.07,,50.00,$ 0.03
"Google, Inc. - USA",,,,,,,,,
17221 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,25 0.02,,50.00,$ 0.01
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,,10/19 - 12/19,0.00000000,83 0.01,,50.00,$ 0.01
IHEART Communications - USA,,,,,,,,,
17131 iheart Plus,,DIGI,,01/20 - 01/20,0.00000000,1 0.00,,50.00,$ 0.00
17131 iheart Premium,,DIGI,,01/20 - 01/20,0.00000000,5 0.00,,50.00,$ 0.00
"Music Reports, Inc. - USA",,,,,,,,,
17006 Pandora Plus,,DIGI,,12/19 - 12/19,0.00000000,13 0.00,,50.00,$ 0.00
17006 Pandora,,DIGI,,12/19 - 12/19,0.00000000,5 0.00,,50.00,$ 0.00
17008 Hoopla,,DIGI,,12/19 - 12/19,0.00000000,2 0.01,,50.00,$ 0.00
17014 Amazon Music,,DIGI,,11/19 - 11/19,0.00000000,20 0.03,,50.00,$ 0.01
17016 Tidal - Premium,,DIGI,,01/19 - 01/19,0.00000000,6 0.00,,50.00,$ 0.00
Pandora - USA,,,,,,,,,
17133 Pandora Plus,,DIGI,,01/20 - 01/20,0.00000000,29 0.01,,50.00,$ 0.01
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,21 0.01,,50.00,$ 0.01
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,8 0.00,,50.00,$ 0.00
17523 Pandora Plus,,DIGI,,02/20 - 02/20,0.00000000,29 0.01,,50.00,$ 0.01
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,21 0.01,,50.00,$ 0.01
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,1 0.00,,50.00,$ 0.00
17536 Pandora Plus,,DIGI,,03/20 - 03/20,0.00000000,17 0.01,,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
17536 Pandora,,DIGI,03/20 - 03/20,,0.00000000,11 0.01,,50.00,$ 0.00
17536 Pandora,,DIGI,03/20 - 03/20,,0.00000000,1 0.00,,50.00,$ 0.00
17583 Pandora Plus,,DIGI,04/20 - 04/20,,0.00000000,23 0.01,,50.00,$ 0.01
17583 Pandora,,DIGI,04/20 - 04/20,,0.00000000,8 0.01,,50.00,$ 0.00
18039 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,24 0.01,,50.00,$ 0.01
"Spotify USA, Inc. - USA",,,,,,,,,
17426 Amy Rigby,,DIGI,05/19 - 05/19,,0.00000000,22 0.01,,50.00,$ 0.00
17428 Amy Rigby,,DIGI,06/19 - 06/19,,0.00000000,31 0.01,,50.00,$ 0.01
17431 Amy Rigby,,DIGI,07/19 - 07/19,,0.00000000,31 0.01,,50.00,$ 0.01
17434 Amy Rigby,,DIGI,08/19 - 08/19,,0.00000000,24 0.01,,50.00,$ 0.01
17437 Amy Rigby,,DIGI,09/19 - 09/19,,0.00000000,44 0.02,,50.00,$ 0.01
17440 Amy Rigby,,DIGI,10/19 - 10/19,,0.00000000,69 0.03,,50.00,$ 0.01
17443 Amy Rigby,,DIGI,11/19 - 11/19,,0.00000000,70 0.03,,50.00,$ 0.01
17446 Amy Rigby,,DIGI,12/19 - 12/19,,0.00000000,36 0.01,,50.00,$ 0.00
17929 Amy Rigby,,MECH,01/20 - 01/20,,0.00000000,138 0.06,,50.00,$ 0.03
17930 Amy Rigby,,MECH,02/20 - 02/20,,0.00000000,184 0.09,,50.00,$ 0.04
17931 Amy Rigby,,MECH,03/20 - 03/20,,0.00000000,38 0.02,,50.00,$ 0.01
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,10 0.01,,50.00,$ 0.00
17584 Tidal - Premium,,DIGI,05/20 - 05/20,,0.00000000,6 0.01,,50.00,$ 0.00
XUS International Publishing - South Africa,,,,,,,,,
17896 Xandrie S.A.,,MECH,07/19 - 12/19,,0.00000000,1 0.03,,50.00,$ 0.01
XUS International Publishing - United Kingdom,,,,,,,,,
17896 Google,,DIGI,07/19 - 12/19,,0.00000000,8 0.01,,50.00,$ 0.01
17896 iTunes,,MECH,07/19 - 12/19,,0.00000000,1 0.03,,50.00,$ 0.01
"",,,,,,Composition Total:,,,$ 0.67
Beer And Kisses - Amy Rigby,,,,,,,,,
"AMI Entertainment, Inc. - USA",,,,,,,,,
17364 Amy Rigby,,DIGI,07/19 - 09/19,,0.00000000,2 0.01,,50.00,$ 0.01
Amazon Music Free Tier - USA,,,,,,,,,
17115 Ad-supported,,DIGI,11/19 - 11/19,,0.00000000,1 0.00,,50.00,$ 0.00
17530 Ad-supported,,DIGI,02/20 - 02/20,,0.00000000,1 0.00,,50.00,$ 0.00
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,12/19 - 12/19,,0.00000000,17 0.02,,50.00,$ 0.01
17129 Amazon Music,,DIGI,01/20 - 01/20,,0.00000000,68 0.11,,50.00,$ 0.05
17532 Amazon Music,,DIGI,02/20 - 02/20,,0.00000000,94 0.16,,50.00,$ 0.08
17581 Amazon Music,,DIGI,03/20 - 03/20,,0.00000000,48 0.07,,50.00,$ 0.04
17582 Amazon Music,,DIGI,04/20 - 04/20,,0.00000000,37 0.06,,50.00,$ 0.03
18035 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,24 0.04,,50.00,$ 0.02
Amazon Prime Music - USA,,,,,,,,,
17112 Amazon Prime,,DIGI,12/19 - 12/19,,0.00000000,8 0.01,,50.00,$ 0.00
17114 Amazon Prime,,DIGI,11/19 - 11/19,,0.00000000,11 0.01,,50.00,$ 0.01
